API #,Well Name,Status,County,Est. Daily Oil Prod.,Est. Daily Gas Prod.,Est. Daily Water Prod.,Latitude,Longitude
42-479-45324,CODIGO 109H,PRODUCING,"Webb County, TX",,,,28.136166,-99.531302
42-479-45329,CODIGO 110H,PRODUCING,"Webb County, TX",,,,28.136782,-99.521141
42-479-45330,CODIGO 111H,PRODUCING,"Webb County, TX",,,,28.136774,-99.52089
42-479-45331,CODIGO 112H,PRODUCING,"Webb County, TX",,,,28.136765,-99.520639
42-479-45328,CODIGO 22H,PRODUCING,"Webb County, TX",,,,28.136768,-99.520723
30-015-48558,DEEP ELEM 4 FEDERAL COM 205H,New,"Eddy County, NM",,,,32.066535,-103.782821
34-121-24688,Gemsbok NNB 1C,Producing,"Noble County, OH",,,,0,0
30-025-51856,ICY 7 FEDERAL 757H,New,"Lea County, NM",,,,32.140142,-103.603613
33-061-05454,Liberty LR 72-3633H,Active,"Mountrail County, ND",,,,47.855732,-102.271655
42-301-37262,LINK VJ RANCH 25-36 E 751H,PRODUCING,"Loving County, TX",,,,31.82439,-103.712126
33-053-10452,Mandaree 149-2008H,Active,"McKenzie County, ND",,,,47.710629,-102.748214
33-053-10453,Mandaree 49-2008H,Active,"McKenzie County, ND",,,,47.71052,-102.748214
33-053-10451,Mandaree 50-2008H,Active,"McKenzie County, ND",,,,47.710739,-102.748214
30-025-53437,MERCILESS 13 FEDERAL COM 102H,New,"Lea County, NM",,,,32.137329,-103.621167
30-025-54336,MERCILESS 13 FEDERAL COM 103H,New,"Lea County, NM",,,,32.136469,-103.624723
30-025-54328,MERCILESS 13 FEDERAL COM 205H,New,"Lea County, NM",,,,32.136487,-103.624767
30-025-53439,MERCILESS 13 FEDERAL COM 206H,New,"Lea County, NM",,,,32.137088,-103.626156
30-025-53441,MERCILESS 13 FEDERAL COM 208H,New,"Lea County, NM",,,,32.136918,-103.626156
30-025-53947,NEVER BETTER 14 FEDERAL COM 201H,New,"Lea County, NM",,,,32.396948,-103.652821
30-025-53948,NEVER BETTER 14 FEDERAL COM 202H,New,"Lea County, NM",,,,32.396947,-103.652608
30-025-53950,NEVER BETTER 14 FEDERAL COM 204H,New,"Lea County, NM",,,,32.396646,-103.649846
30-025-53951,NEVER BETTER 14 FEDERAL COM 205H,New,"Lea County, NM",,,,32.396723,-103.647432
30-025-53954,NEVER BETTER 14 FEDERAL COM 302H,New,"Lea County, NM",,,,32.396737,-103.649846
30-025-53955,NEVER BETTER 14 FEDERAL COM 303H,New,"Lea County, NM",,,,32.396633,-103.647433
30-025-54542,ORRTANNA 20 FEDERAL 307H,New,"Lea County, NM",,,,32.023193,-103.589521
30-015-56957,PADRON 3 STATE BS UNIT 582H,,"Eddy County, NM",,,,,
30-015-56959,PADRON 3 STATE BS UNIT 584H,,"Eddy County, NM",,,,,
30-025-51758,PRETTY GOOD 20 FEDERAL COM 201H,New,"Lea County, NM",,,,32.38152,-103.69323
30-025-51759,PRETTY GOOD 20 FEDERAL COM 202H,New,"Lea County, NM",,,,32.381602,-103.683222
30-025-53487,PRETTY GOOD 20 FEDERAL COM 204H,New,"Lea County, NM",,,,32.383237,-103.69526
30-025-53488,PRETTY GOOD 20 FEDERAL COM 205H,New,"Lea County, NM",,,,32.383059,-103.697644
30-025-53489,PRETTY GOOD 20 FEDERAL COM 206H,New,"Lea County, NM",,,,32.382976,-103.697644
30-025-53492,PRETTY GOOD 20 FEDERAL COM 302H,New,"Lea County, NM",,,,32.383241,-103.695212
30-025-53111,PRETTY GOOD 20 FEDERAL COM 402H,New,"Lea County, NM",,,,32.383047,-103.69553
30-025-53325,SHIPROCK 5 FED COM 402H,New,"Lea County, NM",,,,32.165959,-103.486618
30-025-53510,SHIPROCK 5 FED COM 403H,New,"Lea County, NM",,,,32.165139,-103.493167
30-025-54718,SHIPROCK 5 FED COM 404H,,"Lea County, NM",,,,,
30-025-54702,SHIPROCK 5 FED COM 707H,,"Lea County, NM",,,,,
30-025-54706,SHIPROCK 5 FED COM 743H,,"Lea County, NM",,,,,
30-025-54707,SHIPROCK 5 FED COM 744H,,"Lea County, NM",,,,,
30-015-56632,STARK 33 FEDERAL COM 592H,New,"Eddy County, NM",,,,32.080367,-103.892198
42-389-41415,STATE STREEK B1 731H,PRODUCING,"Reeves County, TX",,,,31.564047,-103.876375
42-389-41416,STATE STREEK B2 751H,PRODUCING,"Reeves County, TX",,,,31.564048,-103.876269
30-025-54461,VALIANT 24 FEDERAL COM 755H,New,"Lea County, NM",,,,32.116476,-103.625165
42-283-37749,WHISTLER A 1H,PRODUCING,"La Salle County, TX",,,,28.506175,-98.947992
42-283-37750,WHISTLER B 2H,PRODUCING,"La Salle County, TX",,,,28.506229,-98.947934
42-283-37751,WHISTLER C 3H,PRODUCING,"La Salle County, TX",,,,28.506277,-98.947904
42-283-37752,WHISTLER D 4H,PRODUCING,"La Salle County, TX",,,,28.506336,-98.947816
42-283-37753,WHISTLER E 5H,PRODUCING,"La Salle County, TX",,,,28.506389,-98.947758
34-067-21764,Xavier HFP07 8B,Producing,"Harrison County, OH",,,,0,0
